Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Kyle Reifers,96.0,65.15,2017,286.1,65.97,29.73,58.44,71.587,241,,,-0.276,-0.418,-0.023,-0.337,0.218,"$454,570"
J.J. Spaun,92.0,65.11,2017,291.5,67.12,29.35,59.14,70.999,510,,3.0,-0.027000000000000003,-0.07200000000000001,0.316,-0.122,-0.24,"$1,122,611"
Rory Sabbatini,71.0,64.91,2017,291.6,67.35,29.34,58.38,70.883,375,,1.0,-0.35700000000000004,0.125,0.308,0.146,0.027999999999999997,"$741,617"
Shane Lowry,52.0,64.86,2017,295.1,67.53,29.53,55.51,70.667,361,,1.0,0.479,1.088,0.5820000000000001,0.231,-0.27699999999999997,"$831,411"
Martin Laird,83.0,64.82,2017,296.1,65.61,28.92,60.94,70.45,676,,5.0,0.253,0.8109999999999999,0.235,0.139,0.203,"$1,759,706"
Rick Lamb,54.0,64.81,2017,298.0,66.89,29.44,54.03,71.97800000000001,269,,1.0,-0.254,-0.8240000000000001,0.6859999999999999,-0.578,-0.6779999999999999,"$524,372"
Sam Saunders,76.0,64.69,2017,293.6,65.24,28.63,58.45,70.921,354,,2.0,0.138,0.071,0.348,-0.136,-0.28,"$678,117"
Brett Stegmaier,78.0,64.66,2017,288.7,66.74,29.97,50.11,72.115,131,,,-0.514,-1.265,-0.141,-0.11699999999999999,-0.493,"$271,031"
John Huh,92.0,64.09,2017,287.1,65.78,29.0,63.65,70.851,382,,2.0,0.124,0.099,-0.049,-0.02,0.043,"$767,575"
Chris Kirk,89.0,63.93,2017,287.0,66.73,29.18,54.73,71.255,467,,3.0,-0.07400000000000001,-0.228,-0.315,0.10099999999999999,0.059000000000000004,"$1,216,047"
Scott Brown,95.0,63.89,2017,289.0,64.35,28.69,59.08,70.932,646,,2.0,0.276,-0.068,0.14300000000000002,-0.225,-0.262,"$1,748,324"
Graham DeLaet,82.0,63.68,2017,301.1,68.57,29.41,56.51,70.376,640,,6.0,0.29100000000000004,0.768,0.486,0.42700000000000005,-0.436,"$1,603,666"
C.T. Pan,88.0,63.68,2017,287.1,67.53,29.74,60.29,71.109,527,,3.0,-0.013000000000000001,-0.084,0.052000000000000005,-0.092,-0.034,"$1,267,649"
Jason Bohn,75.0,63.67,2017,275.9,63.15,29.39,57.11,72.133,73,,,-0.133,-1.141,-0.685,-0.24600000000000002,-0.076,"$165,910"
Ben Martin,86.0,63.67,2017,291.7,66.6,29.25,58.53,70.954,378,,2.0,-0.044000000000000004,0.163,0.138,0.297,-0.22699999999999998,"$850,319"
Miguel Angel Carballo,63.0,63.61,2017,288.1,64.91,29.6,54.72,72.363,81,,,-0.32,-1.358,0.139,-1.035,-0.142,"$186,623"
Paul Casey,94.0,63.46,2017,297.0,69.96,29.02,64.52,69.469,"1,135",,6.0,0.133,1.537,0.349,0.9390000000000001,0.122,"$3,906,974"
Hunter Mahan,73.0,63.4,2017,294.5,64.55,29.58,58.06,71.811,130,,,0.268,-0.568,0.376,-0.8859999999999999,-0.326,"$277,235"
Julián Etulain,68.0,63.34,2017,293.5,66.75,29.13,58.62,71.33800000000001,220,,1.0,0.078,-0.307,-0.035,-0.292,-0.057999999999999996,"$448,214"
Jason Dufner,89.0,63.3,2017,294.5,67.15,29.21,57.72,70.259,"1,126",1.0,2.0,-0.001,0.7340000000000001,0.268,0.519,-0.133,"$3,310,341"
Rickie Fowler,78.0,63.29,2017,300.5,66.98,28.32,62.85,69.083,"1,832",1.0,9.0,0.852,1.875,0.37799999999999995,0.408,0.349,"$6,083,197"
Johnson Wagner,71.0,63.18,2017,288.1,66.93,29.54,55.73,71.429,321,,2.0,0.12,-0.336,-0.081,-0.08800000000000001,-0.287,"$685,306"
James Hahn,96.0,63.14,2017,293.9,66.09,29.36,60.58,70.925,711,,4.0,0.036000000000000004,0.26,0.177,0.016,0.03,"$1,841,314"
Peter Malnati,91.0,63.1,2017,282.3,62.48,28.4,61.5,71.399,182,,,0.451,-0.184,-0.262,-0.563,0.19,"$358,541"
Adam Hadwin,98.0,62.85,2017,290.7,64.89,28.43,63.47,70.583,"1,347",1.0,5.0,0.409,0.64,0.003,0.183,-0.044000000000000004,"$3,455,012"
Russell Henley,99.0,62.79,2017,297.6,67.32,28.99,57.22,70.027,"1,129",1.0,4.0,0.434,0.917,0.31,0.196,0.0,"$3,413,876"
Danny Lee,93.0,62.72,2017,291.1,66.1,28.81,55.43,70.86,697,,4.0,0.247,0.325,0.037000000000000005,0.304,-0.263,"$1,611,331"
Daniel Summerhays,100.0,62.69,2017,286.9,63.02,28.97,56.76,71.197,348,,1.0,0.11,0.146,-0.05,-0.062,0.051,"$826,124"
Jonathan Randolph,68.0,62.67,2017,287.2,62.71,28.9,56.82,71.642,221,,1.0,-0.076,-0.506,0.03,-0.221,-0.149,"$511,032"
Geoff Ogilvy,80.0,62.59,2017,286.5,65.51,29.29,60.85,71.056,390,,1.0,0.043,-0.152,-0.064,-0.327,0.196,"$867,249"
J.J. Henry,92.0,62.58,2017,294.1,69.44,30.42,56.66,71.164,365,,2.0,-0.43,-0.172,0.20800000000000002,0.05,0.0,"$734,874"
Ian Poulter,72.0,62.55,2017,283.5,64.46,28.44,67.36,70.045,760,,2.0,0.025,0.9359999999999999,-0.162,0.573,0.501,"$2,098,346"
Brendan Steele,89.0,62.28,2017,299.9,67.29,29.4,60.51,70.503,"1,226",1.0,4.0,-0.013000000000000001,0.77,0.387,0.41100000000000003,0.09,"$2,907,095"
David Lingmerth,79.0,62.12,2017,289.8,62.83,28.15,58.53,70.755,437,,1.0,0.484,0.373,-0.032,0.054000000000000006,-0.031,"$1,070,754"
Brian Harman,104.0,62.07,2017,289.6,63.19,28.3,62.74,70.402,"1,557",1.0,7.0,0.6,0.581,0.015,-0.198,0.32899999999999996,"$4,396,470"
Brandt Snedeker,53.0,61.98,2017,280.8,66.06,28.5,64.06,70.055,663,,4.0,0.5720000000000001,0.862,-0.311,0.503,0.314,"$1,625,806"
Fabián Gómez,61.0,61.81,2017,285.1,64.69,29.15,58.67,71.61,168,,,-0.006,-0.40700000000000003,0.022000000000000002,-0.429,0.006,"$332,352"
Michael Thompson,60.0,61.72,2017,284.8,63.69,28.88,58.74,71.207,278,,1.0,0.84,-0.17300000000000001,-0.431,-0.373,-0.20800000000000002,"$568,991"
Nick Taylor,97.0,61.66,2017,291.6,66.14,29.38,61.83,70.817,532,,4.0,-0.191,0.151,0.168,0.053,0.121,"$1,255,259"
Blayne Barber,77.0,61.62,2017,291.2,67.61,29.08,55.8,71.163,381,,1.0,0.402,0.013000000000000001,0.040999999999999995,-0.12300000000000001,-0.306,"$823,082"
Patrick Cantlay,52.0,61.47,2017,298.9,69.21,29.19,60.15,69.971,578,,2.0,0.159,1.2690000000000001,0.623,0.467,0.021,"$2,049,632"
Pat Perez,93.0,61.46,2017,290.6,66.04,28.66,63.38,70.25,"1,461",1.0,5.0,0.34600000000000003,0.877,-0.147,0.222,0.44,"$4,361,400"
Sergio Garcia,65.0,61.08,2017,300.9,69.73,29.38,61.39,69.596,"1,085",1.0,2.0,-0.311,0.941,0.795,0.37799999999999995,0.182,"$3,522,476"
Ryan Blaum,100.0,60.94,2017,284.1,65.28,28.82,60.0,70.866,434,,2.0,0.33399999999999996,0.047,-0.198,-0.032,-0.057,"$962,768"
Rod Pampling,71.0,60.83,2017,287.8,64.01,29.97,52.83,71.861,630,1.0,1.0,-0.518,-0.677,-0.11,-0.231,0.183,"$1,539,422"
Troy Merritt,82.0,60.79,2017,289.8,64.71,28.88,58.51,71.398,265,,1.0,-0.017,-0.146,-0.11800000000000001,-0.018000000000000002,-0.009000000000000001,"$569,682"
Brett Drewitt,57.0,60.73,2017,286.4,64.78,29.36,59.23,72.13,95,,,-0.457,-1.035,-0.209,-0.314,-0.054000000000000006,"$184,388"
Billy Hurley III,80.0,60.57,2017,276.9,63.61,28.76,58.78,71.176,333,,1.0,0.374,0.11,-0.812,0.43200000000000005,0.11699999999999999,"$719,579"
Shawn Stefani,72.0,60.53,2017,294.0,67.48,29.28,59.55,70.983,188,,1.0,-0.057,-0.043,0.01,-0.11900000000000001,0.122,"$404,377"
Kevin Na,86.0,60.46,2017,283.6,65.46,28.79,62.06,70.399,584,,4.0,0.265,0.755,-0.406,0.631,0.28800000000000003,"$1,728,351"
Mark Hubbard,81.0,60.41,2017,282.7,65.39,29.5,58.57,71.87100000000001,124,,,-0.2,-0.7020000000000001,-0.539,0.10099999999999999,-0.064,"$267,968"
Morgan Hoffmann,92.0,60.39,2017,293.9,63.57,28.81,60.14,71.107,565,,1.0,0.078,-0.06,0.165,-0.419,0.115,"$1,278,568"
Rafa Cabrera Bello,63.0,60.33,2017,291.0,62.6,28.8,60.74,70.693,615,,4.0,0.473,0.10099999999999999,-0.223,-0.171,0.068,"$1,934,675"
Hudson Swafford,94.0,60.27,2017,305.1,68.21,29.49,55.53,70.618,921,1.0,4.0,-0.005,0.314,0.45399999999999996,0.20199999999999999,-0.337,"$2,246,090"
Cameron Percy,71.0,60.18,2017,292.5,69.91,29.78,60.23,71.03,291,,1.0,-0.205,-0.08199999999999999,-0.019,0.266,-0.12300000000000001,"$623,694"
Jonas Blixt,74.0,60.1,2017,288.8,61.51,28.16,58.56,71.283,578,1.0,1.0,0.536,-0.341,-0.3,-0.614,0.037000000000000005,"$1,408,288"
Kelly Kraft,75.0,60.06,2017,291.9,63.15,29.32,53.5,71.491,672,,3.0,-0.157,-0.6809999999999999,-0.205,0.159,-0.479,"$1,638,045"
Daniel Berger,91.0,60.02,2017,296.5,66.93,28.73,62.8,70.12100000000001,"1,623",1.0,6.0,0.149,1.032,0.282,0.57,-0.09,"$4,287,161"
Louis Oosthuizen,69.0,59.98,2017,295.2,65.13,28.91,62.91,70.22,956,,3.0,0.53,1.179,0.301,0.215,0.18899999999999997,"$3,105,422"
Mark Anderson,54.0,59.97,2017,283.8,65.6,29.13,61.18,71.5,98,,1.0,-0.016,-0.325,-0.149,-0.24100000000000002,0.08199999999999999,"$188,806"
Sean O'Hair,84.0,59.91,2017,297.2,66.19,29.06,57.52,70.801,707,,5.0,0.107,0.42200000000000004,0.252,0.11800000000000001,-0.10099999999999999,"$1,873,856"
Bud Cauley,92.0,59.83,2017,296.0,67.38,29.24,59.21,70.432,666,,5.0,-0.273,0.561,0.264,0.588,-0.05,"$1,553,685"
Anirban Lahiri,72.0,59.82,2017,297.0,63.43,28.6,55.06,70.79899999999999,667,,2.0,-0.336,-0.18600000000000003,0.23399999999999999,-0.14300000000000002,0.059000000000000004,"$1,944,289"
Greg Chalmers,75.0,59.8,2017,278.0,59.86,28.17,59.26,71.758,156,,,0.316,-0.5329999999999999,-0.496,-0.529,0.175,"$344,631"
Billy Horschel,88.0,59.8,2017,299.5,68.19,29.86,54.47,70.832,"1,068",1.0,4.0,0.084,0.138,0.22399999999999998,0.02,-0.324,"$2,697,960"
Tyrone Van Aswegen,105.0,59.79,2017,287.2,66.38,29.36,58.94,71.181,407,,1.0,-0.32,-0.217,-0.067,0.084,0.085,"$806,410"
Michael Kim,94.0,59.71,2017,289.6,65.68,28.96,58.81,70.707,483,,1.0,0.22899999999999998,0.247,-0.247,0.158,0.106,"$1,018,204"
Sung Kang,104.0,59.65,2017,296.4,66.07,29.08,56.98,70.49600000000001,798,,3.0,0.154,0.478,0.255,0.251,-0.182,"$1,943,309"
Mackenzie Hughes,106.0,59.63,2017,294.3,64.74,29.07,58.64,71.044,974,1.0,2.0,0.49200000000000005,0.172,0.021,-0.40399999999999997,0.063,"$2,355,553"
Harold Varner III,101.0,59.61,2017,302.4,67.68,29.69,56.94,70.96600000000001,375,,1.0,-0.402,0.109,0.262,0.33,-0.081,"$918,779"
Bubba Watson,71.0,59.58,2017,305.6,63.02,29.28,55.67,71.175,397,,3.0,-0.187,0.11599999999999999,0.647,-0.175,-0.201,"$1,223,129"
Robert Garrigus,78.0,59.52,2017,300.7,69.52,29.46,54.94,70.712,448,,3.0,-0.456,0.253,0.42200000000000004,0.47700000000000004,-0.19,"$880,905"
Jordan Spieth,85.0,59.48,2017,295.0,69.97,28.34,61.75,68.846,"2,671",3.0,8.0,0.278,1.9880000000000002,0.321,0.8959999999999999,0.429,"$9,433,033"
Scott Piercy,70.0,59.32,2017,295.1,66.84,29.38,50.0,71.235,532,,4.0,-0.526,-0.214,0.19,0.311,-0.25,"$1,317,452"
Chad Collins,66.0,59.31,2017,281.4,60.93,28.47,63.07,71.77,305,,2.0,0.079,-0.45399999999999996,-0.573,-0.254,0.294,"$693,743"
Jason Kokrak,95.0,59.26,2017,305.7,66.97,29.99,54.9,70.961,490,,1.0,-0.405,0.073,0.607,0.077,-0.226,"$1,173,708"
J.T. Poston,95.0,59.24,2017,294.8,65.69,28.79,59.62,70.982,340,,1.0,-0.11699999999999999,0.079,0.156,0.053,-0.062,"$662,565"
Gary Woodland,94.0,58.9,2017,306.9,69.35,29.76,58.21,70.482,"1,052",,5.0,-0.381,0.6920000000000001,0.431,0.5710000000000001,0.039,"$2,980,225"
Jon Rahm,90.0,58.61,2017,305.8,68.79,28.81,63.74,69.561,"1,754",1.0,7.0,0.256,1.871,0.9490000000000001,0.515,0.057,"$6,123,248"
Justin Rose,66.0,58.48,2017,300.4,68.19,29.15,59.44,69.699,996,,4.0,-0.063,1.268,0.5589999999999999,0.363,0.373,"$4,245,308"
Brian Campbell,55.0,58.2,2017,296.0,63.29,28.63,56.68,71.92399999999999,132,,,0.385,-0.428,0.063,-0.75,-0.126,"$237,537"
Branden Grace,70.0,58.19,2017,290.6,66.2,29.36,61.28,70.862,510,,2.0,-0.248,0.28300000000000003,0.18,0.17300000000000001,0.165,"$1,315,054"
Tag Ridings,67.0,58.18,2017,301.6,65.91,29.19,57.73,71.176,237,,1.0,0.203,0.03,0.295,-0.35600000000000004,-0.111,"$489,927"
Cameron Tringale,89.0,58.15,2017,280.9,64.39,28.9,58.83,71.343,337,,3.0,0.125,-0.14,-0.75,0.08900000000000001,0.396,"$792,814"
Bill Haas,92.0,58.05,2017,292.3,67.28,29.09,63.1,70.01100000000001,946,,3.0,0.055,0.763,-0.047,0.39899999999999997,0.516,"$2,842,173"
Bryson DeChambeau,91.0,58.04,2017,299.1,65.77,29.15,57.65,70.866,836,1.0,2.0,-0.193,0.243,0.42,-0.02,-0.016,"$1,817,054"
Wesley Bryan,95.0,57.89,2017,279.6,60.92,28.12,61.5,71.062,"1,046",1.0,5.0,0.34,0.16699999999999998,-0.899,0.42100000000000004,0.141,"$2,495,751"
Retief Goosen,52.0,57.79,2017,291.8,63.89,29.09,60.2,71.425,205,,1.0,-0.425,-0.39,-0.001,0.009000000000000001,0.027000000000000003,"$414,363"
Charley Hoffman,112.0,57.72,2017,298.3,66.13,29.0,56.78,70.351,"1,498",,7.0,-0.012,0.78,0.586,0.349,-0.031,"$4,161,008"
Xander Schauffele,96.0,57.68,2017,306.3,67.74,29.1,56.95,70.163,988,1.0,3.0,0.402,0.7240000000000001,0.5539999999999999,0.011000000000000001,-0.086,"$4,312,674"
Marc Leishman,94.0,57.64,2017,298.1,67.38,28.77,60.99,69.468,"1,324",1.0,5.0,0.35600000000000004,1.4240000000000002,0.319,0.41,0.337,"$5,866,391"
Kevin Chappell,95.0,57.61,2017,304.7,65.05,29.35,56.56,70.779,"1,015",1.0,4.0,-0.303,0.45899999999999996,0.442,0.294,0.106,"$3,149,615"
Hideki Matsuyama,83.0,57.61,2017,302.9,69.14,28.96,61.25,69.624,"2,869",3.0,7.0,-0.345,1.058,0.508,0.758,0.34600000000000003,"$8,380,570"
Bryce Molder,74.0,57.6,2017,277.0,61.79,28.66,59.14,71.817,109,,,0.38299999999999995,-0.846,-1.0979999999999999,-0.431,0.301,"$216,892"
Robert Streb,98.0,57.58,2017,294.3,65.19,29.13,58.91,70.7,577,,2.0,0.003,0.078,-0.159,-0.07200000000000001,0.305,"$1,588,287"
Tony Finau,106.0,57.53,2017,309.2,68.96,29.26,59.38,69.987,"1,024",,6.0,-0.133,1.147,0.826,0.39,0.065,"$2,838,629"
Jhonattan Vegas,95.0,57.28,2017,300.8,65.91,29.58,58.15,71.054,"1,023",1.0,3.0,-0.413,0.174,0.39399999999999996,0.172,-0.06,"$2,944,738"
Matt Jones,64.0,57.09,2017,302.6,63.1,28.7,63.17,70.719,248,,,0.17,0.278,0.073,-0.46799999999999997,0.503,"$510,622"
Scott Stallings,81.0,57.04,2017,297.6,67.89,29.65,55.51,70.811,438,,3.0,-0.32,0.02,0.049,0.375,-0.084,"$955,337"
Ryan Palmer,61.0,56.94,2017,303.1,65.9,30.08,57.83,71.116,336,,3.0,-1.159,-0.127,0.5329999999999999,0.555,-0.057999999999999996,"$772,560"
Byeong Hun An,77.0,56.76,2017,299.9,64.52,29.2,55.93,70.887,468,,3.0,-0.375,0.617,0.524,0.369,0.071,"$1,236,090"
Dominic Bozzelli,69.0,56.57,2017,294.4,61.97,28.6,57.75,71.49,394,,3.0,-0.033,-0.449,0.051,-0.342,-0.125,"$868,519"
Jamie Lovemark,98.0,56.54,2017,304.5,65.94,28.87,60.11,70.391,787,,4.0,-0.017,0.7090000000000001,0.319,0.183,0.258,"$1,886,972"
Patrick Reed,107.0,56.52,2017,295.3,62.09,28.33,60.92,70.453,896,,3.0,0.5770000000000001,0.893,0.19899999999999998,-0.049,0.25,"$3,055,111"
Luke Donald,50.0,56.5,2017,278.5,61.92,28.56,59.88,70.831,424,,1.0,0.7040000000000001,0.047,-1.001,-0.078,0.42200000000000004,"$958,850"
Dustin Johnson,77.0,56.44,2017,314.4,69.61,29.0,62.63,69.54899999999999,"2,466",3.0,7.0,0.019,1.972,1.071,0.67,0.121,"$8,732,193"
Brad Fritsch,56.0,56.4,2017,288.3,64.21,29.54,56.42,71.855,74,,,-0.596,-0.7190000000000001,-0.43200000000000005,0.235,0.075,"$166,440"
Cameron Smith,86.0,56.26,2017,292.6,63.14,28.52,58.64,70.90899999999999,847,1.0,4.0,0.084,0.502,-0.13,0.149,0.39899999999999997,"$2,123,216"
Nicholas Lindheim,58.0,56.19,2017,287.1,65.67,29.25,56.65,72.205,93,,,0.336,-1.285,-0.733,-0.578,-0.311,"$175,107"
Grayson Murray,94.0,56.01,2017,308.2,63.95,28.68,53.77,71.064,638,1.0,2.0,-0.08199999999999999,0.064,0.353,-0.032,-0.17600000000000002,"$1,468,728"
Tom Hoge,54.0,55.99,2017,285.1,66.06,28.72,60.14,71.32600000000001,187,,2.0,0.019,-0.27399999999999997,-0.35200000000000004,0.235,-0.17600000000000002,"$373,092"
Adam Scott,58.0,55.99,2017,306.1,66.87,29.29,59.28,69.99600000000001,642,,4.0,-0.09699999999999999,1.0659999999999998,0.524,0.536,0.043,"$1,695,144"
Jimmy Walker,68.0,55.97,2017,295.7,63.75,28.86,57.92,71.155,439,,1.0,0.135,0.355,-0.258,0.518,-0.12300000000000001,"$1,101,162"
Si Woo Kim,80.0,55.92,2017,288.4,58.84,29.13,55.13,72.253,839,1.0,2.0,-0.392,-1.222,-0.23600000000000002,-0.447,0.11,"$2,681,177"
Andres Gonzales,73.0,55.75,2017,299.2,67.71,29.06,61.85,71.112,226,,1.0,0.023,0.02,-0.10400000000000001,-0.08900000000000001,0.19,"$422,078"
Nick Watney,75.0,55.67,2017,300.9,66.43,29.45,58.99,70.685,386,,1.0,-0.113,0.171,-0.063,0.585,-0.23800000000000002,"$824,162"
Luke List,102.0,55.63,2017,311.5,69.1,29.52,56.33,70.428,741,,3.0,-0.426,0.691,0.6,0.44299999999999995,0.07400000000000001,"$1,813,219"
Derek Fathauer,81.0,55.49,2017,286.5,62.81,28.64,53.78,71.568,408,,2.0,0.094,-0.647,-0.456,-0.136,-0.149,"$898,491"
Phil Mickelson,85.0,55.05,2017,293.5,62.85,28.25,60.0,70.168,734,,4.0,0.337,1.048,-0.057999999999999996,0.5529999999999999,0.21600000000000003,"$2,102,599"
Rory McIlroy,51.0,54.97,2017,316.7,65.94,28.65,63.12,69.529,803,,6.0,-0.304,1.212,0.965,0.322,0.095,"$2,430,182"
Smylie Kaufman,76.0,54.79,2017,304.8,65.26,29.24,55.18,71.432,316,,1.0,-0.13699999999999998,-0.177,0.091,-0.059000000000000004,-0.073,"$784,758"
Cody Gribble,79.0,54.77,2017,297.2,62.7,28.53,54.74,71.581,514,1.0,2.0,0.461,-0.524,-0.33799999999999997,-0.586,-0.061,"$1,305,554"
Charles Howell III,86.0,54.72,2017,296.9,67.01,29.11,62.63,70.37100000000001,"1,102",,5.0,0.172,0.49200000000000005,0.016,0.223,0.081,"$2,606,383"
Ernie Els,52.0,54.48,2017,283.6,56.6,28.52,56.0,72.179,50,,,0.45799999999999996,-0.685,-0.565,-0.504,-0.067,"$155,926"
Sebastián Muñoz,51.0,54.45,2017,296.0,63.15,28.84,56.92,71.263,241,,1.0,0.358,0.16899999999999998,0.031,-0.077,-0.14300000000000002,"$563,900"
Camilo Villegas,76.0,54.37,2017,288.7,61.88,28.31,62.35,70.881,464,,2.0,0.4,0.218,-0.524,0.107,0.235,"$971,420"
Ricky Barnes,100.0,54.32,2017,284.9,63.53,28.62,60.1,71.221,324,,,0.26,-0.027000000000000003,-0.638,0.23800000000000002,0.114,"$697,624"
Whee Kim,74.0,54.32,2017,289.4,62.09,28.12,62.07,70.964,505,,2.0,0.44299999999999995,-0.23199999999999998,-0.665,-0.14800000000000002,0.163,"$1,125,368"
Stewart Cink,93.0,54.15,2017,295.8,68.54,29.11,58.53,70.21300000000001,583,,3.0,0.28600000000000003,1.043,-0.019,0.7929999999999999,-0.05,"$1,463,922"
Brooks Koepka,88.0,54.14,2017,310.5,62.28,28.32,56.2,69.847,"1,736",1.0,6.0,0.581,0.9540000000000001,0.546,0.057999999999999996,0.019,"$5,612,397"
Justin Thomas,86.0,54.09,2017,309.3,67.33,28.29,60.54,69.359,"2,689",4.0,9.0,0.332,1.724,0.452,0.738,0.289,"$9,921,560"
Jason Day,71.0,53.73,2017,306.3,63.98,28.22,59.04,70.115,756,,3.0,0.354,1.109,0.311,-0.004,0.273,"$2,978,181"
Charl Schwartzel,63.0,53.59,2017,298.4,61.69,28.45,60.5,70.211,727,,3.0,0.257,0.8029999999999999,-0.023,0.39899999999999997,0.127,"$2,156,036"
Seamus Power,86.0,53.27,2017,298.1,65.63,28.46,63.43,70.543,350,,1.0,0.174,0.5379999999999999,-0.067,0.20199999999999999,0.22899999999999998,"$646,180"
Gonzalo Fernandez-Castaño,63.0,53.26,2017,292.1,62.2,28.41,64.3,71.484,118,,,0.489,-0.078,-0.375,-0.312,0.12,"$258,162"
Trey Mullinax,88.0,53.26,2017,308.8,66.24,29.0,55.91,71.027,330,,1.0,-0.057,-0.184,0.42700000000000005,-0.195,-0.16899999999999998,"$758,141"
Seung-Yul Noh,91.0,53.09,2017,298.5,65.58,28.74,59.18,70.955,446,,3.0,0.244,0.18600000000000003,-0.541,0.044000000000000004,0.439,"$1,080,706"
Patrick Rodgers,76.0,52.9,2017,306.3,65.84,29.85,53.63,71.432,639,,3.0,-0.066,-0.716,-0.044000000000000004,-0.529,-0.077,"$1,346,322"
Martin Flores,88.0,52.79,2017,300.6,70.64,29.86,57.01,70.885,383,,2.0,0.242,-0.015,-0.024,0.047,-0.28,"$830,057"
Patton Kizzire,84.0,52.54,2017,293.0,63.52,29.09,54.31,71.598,519,,3.0,-0.10300000000000001,-0.578,-0.7440000000000001,0.29,-0.021,"$1,110,395"
Kevin Tway,96.0,52.48,2017,309.2,64.71,28.86,59.03,70.868,619,,3.0,0.261,0.433,0.28800000000000003,-0.168,0.053,"$1,472,613"
Brandon Hagy,85.0,52.46,2017,312.7,64.5,29.06,60.16,70.875,419,,1.0,0.109,0.293,0.45899999999999996,-0.39299999999999996,0.11800000000000001,"$861,227"
Aaron Baddeley,61.0,52.25,2017,292.6,62.57,28.49,59.9,71.483,325,,2.0,0.044000000000000004,-0.172,-0.782,0.256,0.31,"$755,356"
Carl Pettersson,63.0,51.94,2017,280.2,57.91,28.34,53.91,72.419,74,,,0.172,-1.2830000000000001,-1.123,-0.385,0.052000000000000005,"$164,621"
Ryo Ishikawa,56.0,51.92,2017,288.8,63.29,28.86,57.84,71.99,148,,1.0,-0.204,-1.1320000000000001,-0.58,-0.32799999999999996,-0.021,"$319,748"
Ollie Schniederjans,92.0,51.89,2017,300.7,66.03,29.15,58.65,70.704,882,,5.0,-0.019,0.38299999999999995,0.125,0.309,-0.032,"$1,935,669"
Ryan Brehm,83.0,51.13,2017,310.5,67.5,29.55,57.14,71.178,188,,,-0.149,-0.16,0.13699999999999998,-0.06,-0.099,"$396,258"
Harris English,84.0,49.8,2017,301.2,63.73,28.71,59.79,70.848,397,,2.0,0.374,0.017,-0.644,0.138,0.16899999999999998,"$864,959"
J.B. Holmes,83.0,49.75,2017,306.4,62.19,28.88,56.12,70.66,543,,2.0,-0.032,0.521,0.5329999999999999,0.039,0.13699999999999998,"$1,353,584"
Matt Every,76.0,48.41,2017,297.7,60.16,28.94,48.01,72.671,175,,,-0.272,-1.454,-0.7340000000000001,-0.141,-0.306,"$351,412"
Andrew Loupe,55.0,45.93,2017,311.3,59.83,29.63,50.27,72.803,105,,1.0,-0.242,-1.416,-0.348,-0.424,-0.40299999999999997,"$273,070"
Steven Bowditch,59.0,45.37,2017,287.3,53.54,29.2,51.96,74.4,9,,,-0.15,-2.889,-1.7169999999999999,-1.26,0.23800000000000002,"$24,650"
